source_id,ra,dec,parallax,phot_g_mean_mag,Teff,dist_pc,sep_arcsec,is_target
2033128120823742208,294.5442685250678,31.298839811766403,0.7797740372725465,18.838207244873047,3816.8752,582.4975,460.50687369873884,False
2033120797900978560,294.6550496851804,31.11830794399528,0.21778285447523676,18.838279724121094,4062.2156,789.4737,363.834209146707,False
2033121004059438464,294.6425055861725,31.12692500606758,-0.2513991454111274,18.83832359313965,4479.4297,1202.1448,337.3434519366372,False
2033108776286049920,294.7329362067861,31.076833641586823,0.3196351972155349,18.83833122253418,,,557.9938002965055,False
2033124306892127744,294.68235153909603,31.25508187988806,0.2844566217047072,18.83833122253418,,,144.29624511404015,False
2033124921069847168,294.5032869099322,31.184793856911448,-0.2964376166431485,18.83833885192871,5333.621,2963.6265,502.39191527696494,False
2033146881247971200,294.75048550954983,31.25586713886061,0.18478396016058465,18.838401794433594,,,304.29769973125667,False
2033148118228253568,294.727501336143,31.325300214655588,-0.03078819452775323,18.838443756103516,,,432.6566199484286,False
2033122554545191552,294.71375611252927,31.173728333231324,0.24174117846495147,18.838550567626953,4742.827,1670.1388,229.83935193621934,False
2033121863052993408,294.59505401440026,31.15206746783546,-0.06347713274236165,18.838563919067383,4592.577,1700.8693,316.54672538940036,False
2033146606369928704,294.7811282521604,31.23615864830646,0.23150078775990993,18.838829040527344,4369.144,898.8953,373.5886581856477,False
2033125951862095488,294.4746062571744,31.21484855505015,0.6689791239608254,18.838909149169922,3776.2,618.1978,575.2984138236781,False
2033147048737786880,294.79312497333314,31.291751500840434,-0.4221637689721675,18.83893394470215,4490.2256,1487.8333,482.1943309854365,False
2033147186180735488,294.8254751026272,31.28502194969137,-0.38679504745471,18.839006423950195,,,557.7614719642993,False
2033175223727464832,294.5267277811702,31.339060634922678,-0.19494100780648882,18.839080810546875,4753.1855,1740.1493,598.1511398494503,False
2033109635278704768,294.78320111897926,31.10423636343718,0.05558848999162057,18.839149475097656,4746.9326,1648.5433,558.7144572716654,False
2033118736333049600,294.50399002127176,31.13737008212661,-0.020365720098433727,18.83931541442871,4667.769,1647.2416,567.3491940861788,False
2033124375611681280,294.6669478284206,31.26763202755599,0.01243257619734497,18.83970069885254,,,175.09377021549278,False
2033120870918007808,294.6832849892193,31.121594748609635,0.25190407351395727,18.839794158935547,4752.9873,1770.51,357.8841845814968,False
2033115369057608960,294.5631915368103,31.08345731581916,0.307773920514638,18.839828491210938,4617.3745,1637.4537,574.8384779359345,False
2033122863783733760,294.7043562020339,31.20330367397767,-0.06833984970659156,18.839998245239258,4560.809,1565.3563,144.1572469529093,False
2033124925403054848,294.4987375265938,31.171234661580076,-0.31240581499503345,18.84001350402832,,,529.862908014324,False
2033128086463763840,294.59047074447176,31.311743684911637,,18.8400936126709,,,398.1996434300376,False
2033121450736039680,294.5692203576559,31.128024349018535,0.3684828075284795,18.840106964111328,4291.008,797.8969,434.0624030468144,False
2033110253754161920,294.73766392404076,31.096903177548477,-0.011250853430388646,18.840167999267578,4316.8657,991.9772,499.1246835323178,False
2033175120648120704,294.5285959783809,31.310124570719392,0.37060331496959625,18.840259552001953,4430.91,1402.3319,523.5258073930117,False
2033110528632139136,294.7287887066564,31.114501828601124,-0.019710263277463023,18.840593338012695,4929.2485,2114.6023,430.38582084420244,False
2033121764271710464,294.5637862025,31.168086174376885,0.3412736848684686,18.840625762939453,4108.391,806.0864,352.4936280718651,False
2033123890277908608,294.6620561579644,31.236333531357452,0.18073481457896082,18.841089248657227,4662.1553,1664.0646,61.61703033608827,False
2033127326251913088,294.6654351041199,31.27749116106695,0.01473812534212068,18.84111213684082,5002.917,2233.2446,210.11897276780815,False
2033173471380485760,294.47655425317066,31.266368137111467,0.08865925828242327,18.841123580932617,4663.3174,1652.3715,593.70201398591,False
2033108565833964672,294.6493086700647,31.071137297190585,0.21315007551240556,18.841365814208984,4790.926,1788.2777,534.4222453535398,False
2033121351990164608,294.5622186743323,31.118657996267107,0.29382179374769923,18.84164047241211,4452.83,1047.4873,473.7187493389524,False
