##############################################################################
# Effective Area File
# Telescope: WALTZER
# Units: Wavelength [Angstrom], Reflectivity , Dichroic_Eff ,
#        GratingEff , CCD_QE , EffectiveArea 
# Pixel scale: 0.90354
# Secondary obstruction : 15 %
# Notes: Reflectivity based on Pollux and HWO reflectivity
# Grating efficiency based on datasheets
# CCD QE based on datasheets
# Effective area = Telescope_area * Rprim * Rsec * Sec_obstr * R_fold * R_d1 
                *R_d2 * R_visgr * vis_geff * vis_detQE
# Generated on: 2026-02-19
##############################################################################
Wavelength	Reflectivity	Dichroic1_Eff	Dichroic2_Eff	GratingEff	CCD_QE	EffectiveArea_cm2
4600.2930	0.9283	0.8000	0.8000	0.5282	0.8621	190.6752
4601.1966	0.9283	0.8000	0.8000	0.5286	0.8623	190.8424
4602.1001	0.9283	0.8000	0.8000	0.5289	0.8625	191.0119
4603.0037	0.9283	0.8000	0.8000	0.5293	0.8627	191.1814
4603.9072	0.9283	0.8000	0.8000	0.5296	0.8629	191.3482
4604.8107	0.9283	0.8000	0.8000	0.5300	0.8631	191.5150
4605.7143	0.9283	0.8000	0.8000	0.5304	0.8632	191.6819
4606.6178	0.9283	0.8000	0.8000	0.5307	0.8634	191.8488
4607.5214	0.9283	0.8000	0.8000	0.5311	0.8636	192.0158
4608.4249	0.9283	0.8000	0.8000	0.5314	0.8638	192.1828
4609.3284	0.9283	0.8000	0.8000	0.5318	0.8640	192.3499
4610.2320	0.9283	0.8000	0.8000	0.5321	0.8641	192.5170
4611.1355	0.9283	0.8000	0.8000	0.5325	0.8643	192.6846
4612.0391	0.9283	0.8000	0.8000	0.5329	0.8645	192.8547
4612.9426	0.9283	0.8000	0.8000	0.5332	0.8647	193.0248
4613.8462	0.9283	0.8000	0.8000	0.5336	0.8649	193.1923
4614.7497	0.9283	0.8000	0.8000	0.5339	0.8650	193.3597
4615.6532	0.9283	0.8000	0.8000	0.5343	0.8652	193.5271
4616.5568	0.9283	0.8000	0.8000	0.5347	0.8654	193.6946
4617.4603	0.9282	0.8000	0.8000	0.5350	0.8656	193.8621
4618.3639	0.9282	0.8000	0.8000	0.5354	0.8658	194.0297
4619.2674	0.9282	0.8000	0.8000	0.5357	0.8659	194.1973
4620.1709	0.9282	0.8000	0.8000	0.5361	0.8661	194.3650
4621.0745	0.9282	0.8000	0.8000	0.5364	0.8663	194.5327
4621.9780	0.9282	0.8000	0.8000	0.5368	0.8665	194.7005
4622.8816	0.9282	0.8000	0.8000	0.5372	0.8667	194.8683
4623.7851	0.9282	0.8000	0.8000	0.5375	0.8669	195.0362
4624.6886	0.9282	0.8000	0.8000	0.5379	0.8670	195.2041
4625.5922	0.9282	0.8000	0.8000	0.5382	0.8672	195.3720
4626.4957	0.9282	0.8000	0.8000	0.5386	0.8674	195.5401
4627.3993	0.9282	0.8000	0.8000	0.5390	0.8676	195.7081
4628.3028	0.9282	0.8000	0.8000	0.5393	0.8678	195.8763
4629.2063	0.9282	0.8000	0.8000	0.5397	0.8679	196.0444
4630.1099	0.9282	0.8000	0.8000	0.5400	0.8681	196.2126
4631.0134	0.9282	0.8000	0.8000	0.5404	0.8683	196.3809
4631.9170	0.9282	0.8000	0.8000	0.5407	0.8685	196.5492
4632.8205	0.9282	0.8000	0.8000	0.5411	0.8687	196.7176
4633.7241	0.9282	0.8000	0.8000	0.5415	0.8688	196.8860
4634.6276	0.9282	0.8000	0.8000	0.5418	0.8690	197.0545
4635.5311	0.9282	0.8000	0.8000	0.5422	0.8692	197.2230
