# "A Modern Mean Dwarf Stellar Color and Effective Temperature Sequence"
# http://www.pas.rochester.edu/~emamajek/EEM_dwarf_UBVIJHK_colors_Teff.txt
# Eric Mamajek
# Version 2019.3.22
#
# Much of the content (but not all) of this table was incorporated
# into Table 5 of Pecaut & Mamajek (2013, ApJS, 208, 9;
# http://adsabs.harvard.edu/abs/2013ApJS..208NAN9P), so that
# reference should be cited. Parts of this table for A/F/G stars also
# appeared in Table 3 of Pecaut, Mamajek, & Bubar (2012, ApJ 756,
# 154).  For example, Table 5 of Pecaut & Mamajek did not include the
# absolute magnitude and luminosity estimates, nor the properties of
# the LTY dwarfs. 
#
# The author's notes on standard stars and mean parameters for stars
# for each dwarf spectral type can be found in the directory at:
# http://www.pas.rochester.edu/~emamajek/spt/. See further notes and
# caveats after the table. Colors are based on Johnson UBV, Tycho
# BtVt, Cousins RcIc, Gaia DR2 G/Bp/Rp, Sloan izY, 2MASS JHKs,
# and WISE W1/W2/W3/W4 photometry. G-V color is Gaia DR2 G - Johnson V.
#
#SpT   Teff  logT   logL  Mbol  BCv    Mv    B-V   R_Rsun Msun  
M1V    3700  3.568 -1.40  8.25 -1.44   9.69  1.475 0.496  0.49  
M1.5V  3650  3.562 -1.47  8.40 -1.57   9.97  1.486 0.460  0.47  
M2V    3550  3.550 -1.57  8.65 -1.65  10.30  1.500 0.434  0.44  
M2.5V  3500  3.544 -1.68  8.94 -1.76  10.70  1.522 0.393  0.40  
M3V    3410  3.533 -1.78  9.17 -1.97  11.14  1.544 0.369  0.36  
M3.5V  3250  3.512 -2.07  9.92 -2.27  12.19  1.602 0.291  0.26  
M4V    3200  3.505 -2.20 10.21 -2.59  12.80  1.661 0.258  0.22  
M4.5V  3100  3.491 -2.31 10.52 -3.05  13.57  1.72  0.243  0.18  
M5V    3030  3.481 -2.52 11.02 -3.28  14.30  1.874 0.199  0.16  
M5.5V  3000  3.477 -2.79 11.71 -3.80  15.51  1.91  0.149  0.12  
M6V    2850  3.455 -3.02 12.26 -4.36  16.62  2.00  0.127  0.10  
M6.5V  2710  3.433 -3.09 12.47 -4.60  17.07  2.06  0.129  0.097 
M7V    2650  3.423 -3.21 12.75 -5.06  17.81  2.06  0.118  0.090 
M7.5V  2600  3.415 -3.29 12.97 -5.46  18.42  2.17  0.112  0.089 
M8V    2500  3.398 -3.36 13.14 -5.70  18.84  2.20  0.111  0.082 
M8.5V  2440  3.387 -3.44 13.34 -5.80  19.14  NAN   0.107  0.081 
M9V    2400  3.380 -3.57 13.67 -5.90  19.36  NAN   0.095  0.079 
M9.5V  2320  3.365 -3.55 13.62 -6.13  19.75  NAN   0.104  0.078 
L0V    2250  3.352 -3.57 13.67 -6.33  20.0   NAN   0.108  0.077 
L1V    2100  3.322 -3.70 13.99 -6.51  20.5   NAN   0.107  0.076 
L2V    1960  3.292 -3.84 14.34 -6.56  20.9   NAN   0.104  0.075 
L3V    1830  3.262 -3.98 14.96 -6.74  21.7   NAN   0.102  NAN   
L4V    1700  3.230 -4.11 15.02 -7.28  22.3   NAN   0.102  NAN   
L5V    1590  3.201 -4.24 15.34 -7.76  23.1   NAN   0.100  NAN   
L6V    1490  3.173 -4.36 15.64 NAN    NAN    NAN   0.099  NAN   
L7V    1410  3.149 -4.46 15.89 NAN    NAN    NAN   0.099  NAN   
L8V    1350  3.130 -4.55 16.12 NAN    NAN    NAN   0.097  NAN   
L9V    1300  3.114 -4.61 16.27 NAN    NAN    NAN   0.098  NAN   
T0V    1260  3.100 -4.66 16.39 NAN    NAN    NAN   0.098  NAN   
T1V    1230  3.090 -4.69 16.47 NAN    NAN    NAN   0.100  NAN   
T2V    1200  3.079 -4.73 16.57 NAN    NAN    NAN   0.100  NAN   
T3V    1160  3.064 -4.77 16.67 NAN    NAN    NAN   0.102  NAN   
T4V    1120  3.049 -4.84 16.84 NAN    NAN    NAN   0.101  NAN   
T4.5V  1090  3.037 -4.90 16.99 NAN    NAN    NAN   0.099  NAN   
T5V    1050  3.021 -4.95 17.12 NAN    NAN    NAN   0.101  NAN   
T5.5V  1010  3.004 -5.04 17.34 NAN    NAN    NAN   0.099  NAN   
T6V     960  2.982 -5.12 17.54 NAN    NAN    NAN   0.100  NAN   
T7V     840  2.924 -5.37 18.17 NAN    NAN    NAN   0.098  NAN   
T7.5V   770  2.886 -5.54 18.59 NAN    NAN    NAN   0.095  NAN   
T8V     700  2.845 -5.71 19.02 NAN    NAN    NAN   0.095  NAN   
T8.5V   610  2.785 -5.93 19.57 NAN    NAN    NAN   0.097  NAN   
T9V     530  2.724 -6.15 20.12 NAN    NAN    NAN   0.100  NAN   
T9.5V   475  2.677  NAN  NAN   NAN    NAN    NAN   NAN    NAN   
Y0V     420  2.623 -6.52 NAN   NAN    NAN    NAN   0.104  NAN   
Y0.5V   390  2.591  NAN  NAN   NAN    NAN    NAN   NAN    NAN   
Y1V     350  2.544  NAN  NAN   NAN    NAN    NAN   NAN    NAN   
Y1.5V   325  2.512  NAN  NAN   NAN    NAN    NAN   NAN    NAN   
Y2V     250  2.398  NAN  26.2  NAN    NAN    NAN   NAN    NAN   
#SpT   Teff  logT   logL Mbol  BCv     Mv    B-V   R_Rsun Msun  
