###############################################################
#Effective Area File
# Telescope: WALTZER
# Units: Wavelength [Angstrom], Reflectivity , Dichroic_Eff ,
#        GratingEff , CCD_QE , Throughput, EffectiveArea [cm2]
# Pixel scale: 0.417684
# Secondary obstruction : 15 %
# Notes: Reflectivity based on Pollux and HWO reflectivity
# Grating efficiency based on CUTE
# CCD QE based on datasheet and CUTE
# Effective area = Telescope_area * Rprim * Rsec * Sec_obstr * R_fold * R_d1
                *R_uvgr * Uv_geff *R_fold2 * Uv_detQE
# Generated on: 2026-02-19
###############################################################################
Wavelength	Reflectivity	Dichroic_Eff	GratingEff	CCD_QE	Throughput	EffectiveArea_cm2
2489.7259	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2490.1436	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2490.5613	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2490.9790	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2491.3967	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2491.8144	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2492.2320	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2492.6497	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2493.0674	0.9259	0.8000	0.6400	0.6050	0.1791	172.3446
2493.4851	0.9259	0.8000	0.6400	0.6050	0.1791	172.3465
2493.9028	0.9259	0.8000	0.6400	0.6050	0.1791	172.3485
2494.3205	0.9259	0.8000	0.6400	0.6050	0.1791	172.3504
2494.7382	0.9259	0.8000	0.6400	0.6050	0.1791	172.3524
2495.1558	0.9259	0.8000	0.6400	0.6050	0.1791	172.3536
2495.5735	0.9259	0.8000	0.6400	0.6050	0.1791	172.3536
2495.9912	0.9259	0.8000	0.6400	0.6050	0.1791	172.3536
2496.4089	0.9259	0.8000	0.6400	0.6050	0.1791	172.3536
2496.8266	0.9259	0.8000	0.6400	0.6050	0.1791	172.3536
2497.2443	0.9259	0.8000	0.6400	0.6050	0.1791	172.3536
2497.6619	0.9259	0.8000	0.6400	0.6050	0.1791	172.3536
2498.0796	0.9259	0.8000	0.6400	0.6050	0.1791	172.3536
2498.4973	0.9259	0.8000	0.6400	0.6050	0.1791	172.3536
2498.9150	0.9259	0.8000	0.6400	0.6050	0.1791	172.3536
2499.3327	0.9259	0.8000	0.6400	0.6050	0.1791	172.3536
2499.7504	0.9259	0.8000	0.6400	0.6050	0.1791	172.3536
2500.1681	0.9259	0.8000	0.6400	0.6051	0.1792	172.3732
2500.5857	0.9259	0.8000	0.6399	0.6054	0.1792	172.4221
2501.0034	0.9259	0.8000	0.6398	0.6056	0.1793	172.4710
2501.4211	0.9259	0.8000	0.6397	0.6059	0.1793	172.5198
2501.8388	0.9259	0.8000	0.6396	0.6061	0.1794	172.5687
2502.2565	0.9259	0.8000	0.6395	0.6064	0.1794	172.6175
2502.6742	0.9259	0.8000	0.6395	0.6066	0.1795	172.6663
