TIC,RAJ2000,DEJ2000,GAIA,Bmag,Vmag,Teff,logg,[M/H],Rad,Mass,LClass,Dist
394115023,286.82784063759,16.56705377124,4513142598030569984,19.09,18.18,5875.0,3.678,,2.47,1.06,"DWARF",5207.42
394115041,286.8026943773,16.56413855024,4513142632390288640,19.405,18.361,5702.0,3.9954,,1.681,1.02,"DWARF",3815.99
394115084,286.80522757571,16.55674270559,4513142563670770176,18.664,18.1,5758.0,3.792,,2.135,1.03,"DWARF",4277.44
394114981,286.8096097373,16.57396331054,4513142666750094976,,18.924,5731.0,3.9738,,1.724,1.02,"DWARF",4892.4
1806263125,286.80486502403,16.55287392923,4513142563670738944,,19.183,5835.0,4.2295,,1.303,1.05,"DWARF",4407.23
1806263131,286.80636375361,16.55654411208,4513142563686546048,,18.996,5828.0,4.0543,,1.594,1.05,"DWARF",4888.48
1806263148,286.80551572971,16.55762415904,4513142568002870144,,19.367,5849.0,4.4429,,1.024,1.06,"DWARF",3921.26
1806263186,286.82183115703,16.56310720662,4513142598030544512,,19.777,5727.0,4.6422,,0.798,1.02,"DWARF",3630.57
1806263276,286.79083494394,16.56966638429,4513142636722505472,,18.955,5710.0,4.0073,,1.658,1.02,"DWARF",4672.29
1806263621,286.86763228572,16.57569854132,4513142842880568448,,19.178,5840.0,4.1789,,1.381,1.05,"DWARF",4010.74
394537953,286.86428874895,16.59021783224,4513142907268354560,19.467,18.19,5761.0,4.1439,,1.424,1.03,"DWARF",2899.96
394538022,286.87868558976,16.60012079696,4513142941628146432,,18.605,5810.0,3.7543,,2.241,1.04,"DWARF",4741.25
1806263975,286.89131954644,16.61702428706,4513143083398937472,,19.776,5707.0,4.3222,,1.154,1.02,"DWARF",4135.72
394649722,287.05012579569,16.52054536875,4513143495729554560,19.472,18.117,5755.0,4.1748,,1.374,1.03,"DWARF",3061.98
1806264622,287.05691772649,16.51918312425,4513143491378919552,,19.567,5836.0,4.5014,,0.953,1.05,"DWARF",3839.86
1806264650,287.06020014073,16.5181759282,4513143495719138176,,18.663,5799.0,3.9603,,1.768,1.04,"DWARF",4577.67
1806264661,287.05058987058,16.5282230313,4513143495719150336,,19.84,5847.0,4.6759,,0.783,1.06,"DWARF",3675.18
394649630,287.05980569215,16.53332255109,4513143594458156288,,18.373,5776.0,3.9558,,1.777,1.04,"DWARF",4158.09
1806264828,287.06799619799,16.53153009308,4513143594458152064,,19.843,5868.0,4.7937,,0.684,1.06,"DWARF",3449.74
394649448,287.06306131408,16.55607250027,4513143834976366464,20.18,18.856,5792.0,3.8828,,1.933,1.04,"DWARF",5167.12
394649533,287.03788100042,16.54521622599,4513143869336084096,19.582,18.985,5793.0,4.1019,,1.502,1.04,"DWARF",4332.94
1806265239,287.06674159893,16.54964783683,4513143834976354304,,19.666,5743.0,4.7693,,0.693,1.03,"DWARF",3136.49
1806265500,287.10851236768,16.55557587822,4513143972435573248,,19.208,5778.0,3.962,,1.764,1.04,"DWARF",5467.79
1806265736,287.13115147106,16.56726051374,4513144109854296192,,18.498,5751.0,4.1408,,1.429,1.03,"DWARF",3489.55
395047213,287.10593203102,16.56823436396,4513144144214036096,19.469,18.673,5710.0,3.4846,,3.027,1.02,"DWARF",6702.07
394649362,287.07043362916,16.56772199329,4513144281652988672,,18.637,5895.0,3.8397,,2.06,1.07,"DWARF",5206.15
1806266242,287.10635414973,16.58754059058,4513144389070562432,,19.722,5782.0,4.45,,1.006,1.04,"DWARF",3994.36
1806266159,287.09765772124,16.57234117037,4513144354710751488,,19.112,5799.0,4.1353,,1.445,1.04,"DWARF",4591.92
1806266372,287.08847481705,16.59747698245,4513144457790210560,,19.756,5887.0,4.5453,,0.914,1.07,"DWARF",4119.37
1806266308,287.08113940969,16.59115076347,4513144423430462592,,19.329,5740.0,4.1226,,1.459,1.03,"DWARF",4683.0
1806266340,287.0931111902,16.58960833159,4513144457790123904,,19.683,5732.0,4.4293,,1.02,1.02,"DWARF",4136.64
395047366,287.10524592614,16.59094367376,4513144384732250624,17.901,18.46,5869.0,3.8377,,2.055,1.06,"DWARF",4145.94
394649528,286.99857610891,16.54548394684,4513144556535517696,,19.315,5711.0,4.3146,,1.164,1.02,"DWARF",3906.29
394649507,287.01839184356,16.54813690282,4513144522171123456,19.572,18.8,5718.0,4.012,,1.649,1.02,"DWARF",4247.39
1806266418,287.00384539408,16.53838659381,4513144492149949440,,19.497,5813.0,4.4739,,0.983,1.05,"DWARF",3813.41
1806266639,287.01080597,16.56236378949,4513144595241277952,,19.932,5764.0,4.5076,,0.937,1.03,"DWARF",4177.29
1806266699,287.04397881962,16.57090690834,4513144659610114048,,19.929,5710.0,4.6302,,0.81,1.02,"DWARF",3635.12
1806266970,286.97675426819,16.56451485729,4513144831413559296,,19.549,5702.0,4.3821,,1.077,1.02,"DWARF",3666.14
1806267327,287.06023628624,16.58356250001,4513145076265545472,,19.824,5883.0,4.6836,,0.78,1.07,"DWARF",3724.76
1806267312,287.04856168607,16.57883935224,4513145041917863424,,19.435,5744.0,4.0681,,1.554,1.03,"DWARF",5081.5
1806267518,287.07335463027,16.59776152615,4513145179344799744,,19.926,5791.0,4.7146,,0.742,1.04,"DWARF",3608.99
1806268119,287.04641372503,16.63999456921,4513145557314019200,,19.24,5834.0,4.144,,1.438,1.05,"DWARF",4653.38
1806267999,287.03745714199,16.62702632018,4513145518603694080,,19.679,5704.0,4.1712,,1.373,1.02,"DWARF",5033.07
1806268053,287.05157324325,16.63260625313,4513145552963449088,,19.343,5706.0,4.0576,,1.565,1.02,"DWARF",4939.76
1806268231,287.12295610909,16.59152178218,4513145656042569728,,19.536,5846.0,4.4982,,0.961,1.06,"DWARF",3753.41
395047275,287.13161488381,16.57744329433,4513145591673594624,19.304,18.055,5738.0,3.4996,,2.99,1.03,"DWARF",4969.77
395047485,287.1389485985,16.60734372536,4513145999639990656,,19.092,5765.0,4.3301,,1.149,1.03,"DWARF",3165.67
1806268660,287.11346521022,16.60611483699,4513145935258886272,,19.056,5703.0,3.9334,,1.806,1.02,"DWARF",4312.17
395047514,287.12893771488,16.61174703484,4513145896560784256,20.613,18.695,5722.0,4.1655,,1.382,1.02,"DWARF",3124.92
1806268805,287.15951468599,16.62648029358,4513146033999771520,,18.76,5754.0,3.7981,,2.12,1.03,"DWARF",4394.52
1806269070,287.17606744365,16.62094330847,4513146205800585216,,19.284,5795.0,4.1331,,1.449,1.04,"DWARF",4084.28
1806269010,287.20096157044,16.62729557067,4513146171440852992,,19.007,5790.0,4.2624,,1.248,1.04,"DWARF",3338.0
395047691,287.19066146711,16.63690390882,4513146240160337920,,19.269,5814.0,4.21,,1.332,1.05,"DWARF",3849.96
1806269251,287.19882785767,16.63973789885,4513146278868382208,,19.474,5726.0,3.7972,,2.112,1.02,"DWARF",5382.51
1806269252,287.21280974858,16.63968461525,4513146308879816960,,19.717,5717.0,4.4042,,1.05,1.02,"DWARF",3380.64
1806269256,287.22250257943,16.64716509345,4513146308879822720,,19.574,5892.0,4.2468,,1.289,1.07,"DWARF",3837.26
395047838,287.21228613341,16.65506968418,4513146377599091584,,19.24,5811.0,3.7554,,2.238,1.04,"DWARF",4875.8
395047907,287.16222584516,16.66376801771,4513146519386620544,18.537,18.269,5758.0,3.8673,,1.958,1.03,"DWARF",3579.85
395047933,287.18530646621,16.66682892307,4513146583757740416,19.455,18.962,5881.0,3.6186,,2.657,1.07,"DWARF",5692.77
394648878,287.09273311495,16.63439438118,4513146789914035712,20.124,18.664,5818.0,,,,,,4193.55
1806269843,287.09286772821,16.61092383116,4513146691185306752,,18.944,5722.0,3.9992,,1.674,1.02,"DWARF",4505.39
394648732,287.06639708309,16.65540113196,4513147064792001792,20.299,18.871,5829.0,3.85,,2.017,1.05,"DWARF",5233.72
394648778,287.06100279544,16.64877711841,4513147034782766080,19.387,18.189,5710.0,3.6401,,2.531,1.02,"DWARF",4740.91
394648754,287.06850423501,16.65254598349,4513147064791989888,,19.026,5790.0,4.264,,1.246,1.04,"DWARF",3794.24
1806270287,287.07555263164,16.64640405144,4513147000423010304,,18.192,5741.0,3.4633,,3.118,1.03,"DWARF",5489.14
395047887,287.10433910415,16.66163952965,4513147137861958272,,19.273,5752.0,3.6477,,2.521,1.03,"DWARF",6333.12
1806270484,287.09772278924,16.6667296989,4513147137861970560,,19.401,5783.0,4.5289,,0.919,1.04,"DWARF",3392.7
395048001,287.0963427979,16.67658311327,4513147206581463552,19.488,18.276,5798.0,3.9745,,1.739,1.04,"DWARF",3684.63
1806270539,287.08232360666,16.65731218125,4513147172221939456,,18.535,5705.0,4.0272,,1.621,1.02,"DWARF",3787.33
1806270658,287.15119457415,16.66764933812,4513147270950470784,,19.628,5731.0,4.1162,,1.463,1.02,"DWARF",4442.4
1806270846,287.15939946437,16.68277017022,4513147378380104576,,19.287,5858.0,3.9541,,1.797,1.06,"DWARF",4807.43
1806270877,287.17258908665,16.68864622563,4513147412727935488,,19.308,5824.0,4.3967,,1.075,1.05,"DWARF",3416.07
395047991,287.16235959029,16.67532634018,4513147374029707392,20.253,18.92,5790.0,3.7277,,2.31,1.04,"DWARF",4991.38
1806271307,287.14896609078,16.70642336143,4513147687606080384,,18.516,5747.0,3.9911,,1.698,1.03,"DWARF",3542.99
1806271230,287.14718899814,16.69446111436,4513147653246265600,,19.106,5731.0,4.0843,,1.518,1.02,"DWARF",3866.9
1806271254,287.136135675,16.70035527466,4513147653246365824,,19.665,5702.0,4.525,,0.914,1.02,"DWARF",3573.63
1806272246,286.96008651115,16.64302341356,4513148306093176192,,18.877,5891.0,3.8107,,2.13,1.07,"DWARF",5225.26
394648891,287.00624369975,16.63236453431,4513148439196190464,19.961,18.97,5746.0,,,,,,4697.27
394648867,286.99833322698,16.63558097167,4513148443532082560,20.079,18.154,5785.0,3.7103,,2.357,1.04,"DWARF",4589.19
1806272542,287.04421923035,16.64633097731,4513148512239904256,,19.373,5883.0,4.2218,,1.327,1.07,"DWARF",4662.9
1806272639,287.02720527396,16.64923631651,4513148580959495680,,19.996,5858.0,4.5893,,0.865,1.06,"DWARF",4215.08
394648774,286.97541289531,16.64936217331,4513148679699682944,20.724,18.806,5718.0,3.6944,,2.378,1.02,"DWARF",5577.78
394648841,286.98125896915,16.63954289565,4513148610980181376,19.406,18.921,5777.0,3.7209,,2.329,1.04,"DWARF",5806.89
1806273309,286.91930060751,16.63232557308,4513148993276767616,,19.578,5797.0,4.2503,,1.266,1.04,"DWARF",4306.95
394538265,286.92810033643,16.63707871225,4513148988937296000,,18.654,5866.0,4.0259,,1.655,1.06,"DWARF",3875.78
394538213,286.94194592668,16.63054831898,4513149023297031040,,19.076,5834.0,4.0143,,1.669,1.05,"DWARF",4553.95
1806273470,286.96209250827,16.6463313141,4513149062007557632,,19.197,5754.0,4.4172,,1.04,1.03,"DWARF",3207.41
1806273544,286.94697530278,16.65844956841,4513149130715773824,,19.836,5761.0,4.5203,,0.923,1.03,"DWARF",4337.14
